Anthony Hopkins,31 December 1937,False,422,Stella Arroyave,None,False,-1,01 March 2003,None,0,False
Jim Carrey,17 January 1962,False,284,Melissa Carrey,08 July 1960,False,-1,28 March 1987,11 December 1995,1,True
Scarlett Johansson,22 November 1984,False,51,Romain Dauriac,None,True,-1,01 October 2014,None,1,False
Martin Scorsese,17 November 1942,False,161,Isabella Rossellini,18 June 1952,False,-1,29 September 1979,01 November 1982,0,True
Natalie Portman,09 June 1981,False,33,Benjamin Millepied,15 June 1977,False,-1,04 August 2012,None,1,False
Michelle Forbes,08 January 1965,False,168,Ross Kettle,15 September 1961,False,-1,01 January 1990,None,0,True
Robert De Niro,17 August 1943,False,262,Grace Hightower,07 April 1955,False,-1,17 June 1997,None,2,False
Olivia Wilde,10 March 1984,False,273,Tao Ruspoli,07 November 1975,False,-1,16 January 2003,29 September 2011,0,True
Malin Akerman,12 May 1978,False,426,Roberto Zincone,None,False,-1,20 June 2007,None,1,True
Diego Luna,29 December 1979,False,58,Camila Sodi,14 May 1986,False,-1,05 February 2008,01 January 2013,2,True
Tom Hardy,15 September 1977,False,1,Sarah Ward,None,True,-1,01 January 1999,01 January 2004,0,True
Nicole Kidman,20 June 1967,False,153,Keith Urban,26 October 1967,False,-1,25 June 2006,None,2,False
Martin Scorsese,17 November 1942,False,161,Laraine Brennan,None,True,-1,15 May 1965,None,1,True
Mads Mikkelsen,22 November 1965,False,232,Hanne Jacobsen,13 January 1961,False,-1,02 December 2000,None,2,False
Noomi Rapace,28 December 1979,False,368,Ola Rapace,03 December 1971,False,-1,01 January 2001,01 January 2011,1,True
Clayne Crawford,20 April 1978,False,361,Sunshine Kiki Brown,None,True,-1,None,None,0,False
Tia Carrere,02 January 1967,False,142,Simon Wakelin,None,False,-1,31 December 2002,12 August 2010,1,True
Cobie Smulders,03 April 1982,False,122,Taran Killam,01 April 1982,False,-1,08 September 2012,None,2,False
Mädchen Amick,12 December 1970,False,317,David Alexis,None,True,-1,16 December 1995,None,2,False
Idris Elba,06 September 1972,False,252,Henne (Kim) Norgaard,None,True,-1,01 June 1999,01 January 2003,1,True
Tom Hanks,09 July 1956,False,117,Rita Wilson,26 October 1956,False,-1,30 April 1988,None,2,False
Eddie Redmayne,06 January 1982,False,158,Hannah Bagshawe,None,True,-1,15 December 2014,None,1,False
Rufus Sewell,29 October 1967,False,290,Yasmin Abdallah,None,True,-1,24 March 1999,01 January 2000,0,True
Harrison Ford,13 July 1942,False,155,Melissa Mathison,03 June 1950,False,-1,14 March 1983,06 January 2004,2,True
Harrison Ford,13 July 1942,False,155,Mary Marquardt,None,True,-1,18 June 1964,03 October 1979,2,True
Sean Young,20 November 1959,False,410,Robert Lujan,None,False,-1,01 January 2011,None,0,False
Teresa Palmer,26 February 1986,False,75,Mark Webber,19 July 1980,False,-1,21 December 2013,None,2,False
Angelina Jolie,04 June 1975,False,307,Jonny Lee Miller,15 November 1972,False,-1,28 March 1996,03 February 1999,0,True
Hilarie Burton,01 July 1982,False,344,Ian Prange,None,False,-1,01 January 2004,01 January 2009,0,True
Jeffrey Dean Morgan,22 April 1966,False,68,Hilarie Burton,01 July 1982,False,344,01 January 2014,None,1,False
Matt Bomer,11 October 1977,False,230,Simon Halls,12 January 1964,False,-1,01 January 2011,None,3,False
Kate Winslet,05 October 1975,False,451,Jim Threapleton,None,False,-1,22 November 1998,13 December 2001,1,True
Sarah Shahi,10 January 1980,False,28,Steve Howey,12 July 1977,False,465,07 February 2009,None,3,False
Jennifer Connelly,12 December 1970,False,245,Paul Bettany,27 May 1971,False,-1,01 January 2003,None,2,False
Cate Blanchett,14 May 1969,False,292,Andrew Upton,None,False,-1,29 December 1997,None,4,False
Adam Sandler,09 September 1966,False,437,Jackie Sandler,24 September 1974,False,-1,22 June 2003,None,2,False
Natalie Zea,17 March 1975,False,463,Travis Schuldt,18 September 1974,False,-1,16 July 2014,None,1,False
Kate Beckinsale,26 July 1973,False,10,Len Wiseman,04 March 1973,False,-1,09 May 2004,01 January 2016,0,True
Morena Baccarin,02 June 1979,False,62,Austin Chick,None,False,-1,18 November 2011,18 March 2016,1,True
Justin Hartley,29 January 1977,False,147,Lindsay Hartley,17 April 1978,False,-1,01 May 2004,01 January 2012,1,True
Bruce Willis,19 March 1955,False,329,Emma Heming,18 June 1978,False,-1,21 March 2009,None,2,False
Rachel Weisz,07 March 1970,False,359,Daniel Craig,02 March 1968,False,-1,22 June 2011,None,0,False
Steven Spielberg,18 December 1946,False,421,Amy Irving,10 September 1953,False,-1,27 November 1985,02 February 1989,1,True
Cillian Murphy,25 May 1976,False,181,Yvonne McGuinness,None,True,-1,01 August 2004,None,2,False
Scarlett Johansson,22 November 1984,False,51,Ryan Reynolds,23 October 1976,False,71,27 September 2008,01 July 2011,0,True
Joel Kinnaman,25 November 1979,False,379,Cleo Wattenström,None,True,-1,01 January 2016,None,0,False
Jeffrey Dean Morgan,22 April 1966,False,68,Anya Longwell,30 November 1964,False,-1,30 May 1992,19 July 2003,0,True
Franka Potente,22 July 1974,False,263,Derek Richardson,18 January 1976,False,-1,01 January 2012,None,1,False
Meg Ryan,19 November 1961,False,449,Dennis Quaid,09 April 1954,False,-1,14 February 1991,16 July 2001,1,True
David Bowie,08 January 1947,False,236,Angie Bowie,None,False,-1,19 March 1970,08 February 1980,1,True
Robert Downey Jr.,04 April 1965,False,238,Susan Downey,06 November 1973,False,-1,27 August 2005,None,2,False
Idris Elba,06 September 1972,False,252,Sonya Hamlin,None,True,-1,09 April 2006,None,0,False
Bryce Dallas Howard,02 March 1981,False,49,Seth Gabel,03 October 1981,False,-1,17 June 2006,None,2,False
Clint Eastwood,31 May 1930,False,234,Dina Eastwood,11 July 1965,False,-1,31 March 1996,22 December 2014,1,True
Angelina Jolie,04 June 1975,False,307,Billy Bob Thornton,04 August 1955,False,209,05 May 2000,27 May 2003,0,True
Kate Hudson,19 April 1979,False,326,Chris Robinson,20 December 1966,False,-1,31 December 2000,25 October 2007,1,True
Tom Cruise,03 July 1962,False,123,Nicole Kidman,20 June 1967,False,153,24 December 1990,08 August 2001,2,True
Will Smith,25 September 1968,False,99,Jada Pinkett Smith,18 September 1971,False,-1,31 December 1997,None,2,False
Jennifer Jason Leigh,05 February 1962,False,302,Noah Baumbach,03 September 1969,False,-1,02 September 2005,17 September 2013,1,True
Kyle Richards,11 January 1969,False,212,Mauricio Simon Umansky,None,False,-1,20 January 1996,None,3,False
Elisha Cuthbert,30 November 1982,False,303,Dion Phaneuf,10 April 1985,False,-1,06 July 2013,None,0,False
Will Smith,25 September 1968,False,99,Sheree Fletcher,16 November 1967,False,-1,09 May 1992,10 December 1995,1,True
Bradley Cooper,05 January 1975,False,374,Jennifer Esposito,11 April 1973,False,-1,21 December 2006,10 November 2007,0,True
Ariane Labed,None,False,466,Yorgos Lanthimos,None,False,-1,None,None,0,False
David Bowie,08 January 1947,False,236,Iman,25 July 1955,False,-1,06 June 1992,None,1,False
Christina Hendricks,03 May 1975,False,268,Geoffrey Arend,28 February 1978,False,-1,11 October 2009,None,0,False
Kirstie Alley,12 January 1951,False,102,Parker Stevenson,04 June 1952,False,-1,22 December 1983,01 January 1997,2,True
Jennifer Grey,26 March 1960,False,464,Clark Gregg,02 April 1962,False,-1,21 July 2001,None,1,False
Shirley Eaton,12 January 1937,False,482,Colin Rowe,None,True,-1,01 January 1957,None,2,False
Reese Witherspoon,22 March 1976,False,215,Ryan Phillippe,10 September 1974,False,-1,05 June 1999,13 June 2008,2,True
Milla Jovovich,17 December 1975,False,277,Luc Besson,18 March 1959,False,-1,14 December 1997,02 May 2000,0,True
Carrie Fisher,21 October 1956,False,16,Paul Simon,13 October 1941,False,-1,16 August 1983,01 January 1984,0,True
Paz Vega,02 January 1976,False,372,Orson Salazar,None,True,-1,02 January 2002,None,3,False
Zooey Deschanel,17 January 1980,False,381,Benjamin Gibbard,11 August 1976,False,-1,19 September 2009,12 December 2012,0,True
Monica Bellucci,30 September 1964,False,247,Vincent Cassel,23 November 1966,False,-1,03 August 1999,26 August 2013,2,True
Jenna Dewan Tatum,03 December 1980,False,301,Channing Tatum,26 April 1980,False,380,11 July 2009,None,1,False
Bruce Willis,19 March 1955,False,329,Demi Moore,11 November 1962,False,-1,21 November 1987,18 October 2000,3,True
Sylvester Stallone,06 July 1946,False,159,Brigitte Nielsen,15 July 1963,False,-1,15 December 1985,13 July 1987,0,True
Claire Foy,16 April 1984,False,18,Stephen Campbell Moore,30 November 1979,False,-1,01 December 2014,None,1,False
Rachael Harris,12 January 1968,False,266,Adam Paul,None,False,-1,24 May 2003,21 May 2008,0,True
Paula Patton,05 December 1975,False,289,Robin Thicke,10 March 1977,False,-1,11 June 2005,14 April 2015,1,True
Kurt Russell,17 March 1951,False,438,Season Hubley,14 March 1951,False,-1,17 March 1979,16 May 1983,1,True
Charlie Hunnam,10 April 1980,False,219,Katharine Towne,17 July 1978,False,-1,25 July 1999,01 January 2002,0,True
Kate Winslet,05 October 1975,False,451,Ned Rocknroll,None,True,-1,05 December 2012,None,1,False
Rachel Bloom,03 April 1987,False,458,Dan Gregor,None,False,-1,25 January 2015,None,0,False
Melissa Rauch,23 June 1980,False,444,Winston Rauch,None,False,-1,01 January 2007,None,0,False
Sylvester Stallone,06 July 1946,False,159,Sasha Czack,17 July 1950,False,-1,28 December 1974,14 February 1985,2,True
Robin Wright,08 April 1966,False,275,Sean Penn,17 August 1960,False,-1,27 April 1996,04 August 2010,2,True
Evangeline Lilly,03 August 1979,False,335,Murray Hone,None,True,-1,01 January 2003,01 January 2004,0,True
Patrick Warburton,14 November 1964,False,239,Cathy Jennings,None,True,-1,01 February 1991,None,4,False
Dan Stevens,10 October 1982,False,52,Susie Hariet,None,True,-1,01 January 2009,None,2,False
Leah Remini,15 June 1970,False,350,Angelo Pagan,None,False,-1,19 July 2003,None,1,False
Drew Barrymore,22 February 1975,False,408,Jeremy Thomas,None,False,-1,20 March 1994,18 February 1995,0,True
Martin Scorsese,17 November 1942,False,161,Helen Morris,None,False,-1,22 July 1999,None,1,False
Jamie Dornan,01 May 1982,False,145,Amelia Warner,04 June 1982,False,-1,27 April 2013,None,2,False
Elizabeth Banks,10 February 1974,False,318,Max Handelman,None,False,-1,05 July 2003,None,2,False
Matt Damon,08 October 1970,False,119,Luciana Barroso,None,False,-1,09 December 2005,None,3,False
Kaley Cuoco,30 November 1985,False,264,Ryan Sweeting,None,False,-1,31 December 2013,06 May 2016,0,True
Emily Blunt,23 February 1983,False,59,John Krasinski,20 October 1979,False,475,10 July 2010,None,2,False
Ali Larter,28 February 1976,False,399,Hayes MacArthur,16 April 1977,False,-1,01 August 2009,None,2,False
Kevin Costner,18 January 1955,False,395,Cindy Costner,29 October 1956,False,-1,11 February 1978,12 December 1994,3,True
Dwayne Johnson,02 May 1972,False,233,Dany Garcia,29 November 1968,False,-1,03 May 1997,19 May 2008,1,True
Salma Hayek,02 September 1966,False,495,François-Henri Pinault,28 May 1962,False,-1,14 February 2009,None,1,False
Elisabeth Shue,06 October 1963,False,402,Davis Guggenheim,03 November 1963,False,-1,01 August 1994,None,3,False
Toby Jones,07 September 1966,False,47,Karen Jones,None,True,-1,None,None,2,False
Martin Scorsese,17 November 1942,False,161,Barbara De Fina,None,False,-1,08 February 1985,05 October 1991,0,True
Sterling K. Brown,None,False,274,Ryan Michelle Bathe,27 July 1976,False,-1,01 June 2007,None,2,False
Steven Spielberg,18 December 1946,False,421,Kate Capshaw,03 November 1953,False,-1,12 October 1991,None,5,False
Viola Davis,11 August 1965,False,107,Julius Tennon,24 December 1953,False,-1,23 June 2003,None,1,False
Mary Elizabeth Winstead,28 November 1984,False,103,Riley Stearns,29 June 1986,False,-1,09 October 2010,None,0,False
Jimmi Simpson,21 November 1975,False,425,Melanie Lynskey,16 May 1977,False,-1,14 April 2007,22 May 2014,0,True
Sam Claflin,27 June 1986,False,309,Laura Haddock,21 August 1985,False,-1,30 July 2013,None,1,False
Christopher Nolan,30 July 1970,False,319,Emma Thomas,None,False,-1,01 January 1997,None,4,False
Mel Gibson,03 January 1956,False,137,Robyn Moore,None,True,-1,07 June 1980,23 December 2011,7,True
Kristen Wiig,22 August 1973,False,167,Hayes Hargrove,None,False,-1,01 January 2005,01 January 2009,0,True
Martin Scorsese,17 November 1942,False,161,Julia Cameron,None,False,-1,30 December 1975,19 January 1977,1,True
Debbie Reynolds,01 April 1932,False,79,Harry Karl,09 March 1914,False,-1,25 November 1960,01 January 1973,0,True
Nicolas Cage,07 January 1964,False,127,Patricia Arquette,08 April 1968,False,-1,08 April 1995,18 May 2001,0,True
Alan Tudyk,16 March 1971,False,351,Charissa Barton,None,True,-1,24 September 2016,None,0,False
Melissa Benoist,04 October 1988,False,143,Blake Jenner,27 August 1992,False,-1,01 March 2013,None,0,True
Brad Pitt,18 December 1963,False,74,Angelina Jolie,04 June 1975,False,307,14 August 2014,None,6,True
Sarah Wayne Callies,01 June 1977,False,427,Josh Winterhalt,None,True,-1,21 June 2002,None,1,False
Neil Patrick Harris,15 June 1973,False,195,David Burtka,29 May 1975,False,-1,06 September 2014,None,2,False
Rebecca Hall,03 May 1982,False,439,Morgan Spector,None,False,-1,26 September 2015,None,0,False
Adam Driver,19 November 1983,False,91,Joanne Tucker,None,False,-1,22 June 2013,None,0,False
Kelly Macdonald,23 February 1976,False,430,Dougie Payne,None,False,-1,27 August 2003,None,2,False
Gal Gadot,30 April 1985,False,9,Yaron Versano,None,True,-1,28 September 2008,None,1,False
